id,text,source,created_at,
822594404024254465,We don't care! Most of us wouldn't have a clue about his complicated tax returns. Quit throwing-up roadblocks! Let'… https://t.co/rsTvVJBOwz,Twitter Web Client,2017-01-20 23:59:23,
822594401625116673,Many supporters feel same. Long rocky road. Thank you and family for hard work and sacrifices.… https://t.co/LpYgrn5DbG,Twitter for Android,2017-01-20 23:59:23,
822594400060575748,#InauguralParade #PresidentTrump #Inauguration #MAGA #GoldenShowers #Trump #TrumpTrain #FOXNews #AnimeRight #GOP… https://t.co/KZ24mrOlm3,Twitter Web Client,2017-01-20 23:59:22,
822594399876091905,"@VanJones68 @realDonaldTrump sounds like you're starting to understand ""WE THE PEOPLE. .."" #MAGA",Twitter for Android,2017-01-20 23:59:22,
822594396839415808,"Don, regarding the toilet in the residence...

#MAGA https://t.co/hfwnQpqOHI",Twitter Web Client,2017-01-20 23:59:21,
822594391839797250,Marching in that parade was the gayest cool thing I've ever done #MAGA,Twitter for iPhone,2017-01-20 23:59:20,
822594390325608448,It's time to make America great again #MAGA @POTUS,Twitter for iPhone,2017-01-20 23:59:20,
822594386106130434,@House_Insider @NBCNews @IngrahamAngle @POTUS 1st 100 minutes will be like the 1st 100 days. Land speed get the task done to #MAGA record🇺🇸,Twitter for iPhone,2017-01-20 23:59:19,
822594370419433472,THAT WAS AMAZING #MAGA,Twitter for iPhone,2017-01-20 23:59:15,
822594368766885888,"Terrorists,inner city blight, poor economy,failing respect for law). Admitting this is first step to #MAGA",Twitter for iPad,2017-01-20 23:59:15,
822594357782056962,VAN DER BELLEN LEADS: The far-right admits defeat in the Aust https://t.co/pngZ3tAEHF #TrumpTransition #PresidentElectTrump #MAGA #privacy,Tweet Old Post,2017-01-20 23:59:12,
822594356788035585,"It's a Great Day!
#MAGA #TrumpInauguration https://t.co/VuWHv8UsbB",Twitter for iPhone,2017-01-20 23:59:12,
822594355739455493,Celebrating #MAGA https://t.co/MKyiUtB3Zv,Twitter for iPhone,2017-01-20 23:59:12,
822594350920167427,The latest The Best Medicine: Comedic Activism! https://t.co/wV1vmcpTfM Thanks to @TFSfeed @Songof2016 @ArthurBayon #99c #maga,Paper.li,2017-01-20 23:59:10,
